,Color,satisfaction_levels,items,cost
929,blue,high,1929,117446.02
930,blue,low,1930,166746.79
931,black,high,1931,39918.1
932,red,high,1932,77052.66
933,red,high,1933,46393.49
934,green,low,1934,53918.11
935,yellow,low,1935,30661.22
936,green,high,1936,89471.45
937,red,low,1937,35800.45
938,black,low,1938,93915.6
939,red,low,1939,83963.63
940,yellow,low,1940,70666.8
941,yellow,medium,1941,82972.32
942,blue,low,1942,137659.92
943,black,medium,1943,32604.83
944,green,medium,1944,120923.4
945,black,low,1945,37128.31
946,blue,medium,1946,75070.95
947,red,low,1947,136372.65
948,yellow,medium,1948,114646.6
949,red,high,1949,48012.49
950,red,high,1950,77454.77
951,blue,low,1951,38171.52
952,green,medium,1952,144794.71
953,red,high,1953,182905.14
954,yellow,low,1954,42451.26
955,yellow,high,1955,126739.38
956,green,high,1956,101801.74
957,green,high,1957,81079.09
958,blue,low,1958,110748.58
959,black,low,1959,32985.98
960,yellow,low,1960,112428.79
961,red,low,1961,135190.15
962,blue,medium,1962,186591.44
963,green,medium,1963,176109.34
964,red,high,1964,43002.17
965,black,medium,1965,11867.84
966,green,low,1966,128548.18
967,black,medium,1967,144032.19
968,black,high,1968,172619.28
969,yellow,high,1969,94152.17
970,yellow,low,1970,20776.08
971,black,high,1971,66604.75
972,yellow,low,1972,159867.24
973,green,high,1973,124349.05
974,black,low,1974,134454.55
975,black,medium,1975,135685.06
976,blue,low,1976,106817.54
977,blue,high,1977,145778.51
978,blue,high,1978,33974.28
979,blue,high,1979,167002.08
980,red,medium,1980,80534.61
981,blue,medium,1981,64546.41
982,green,medium,1982,147555.75
983,red,medium,1983,93373.39
984,green,medium,1984,24625.34
985,blue,high,1985,156245.39
986,black,low,1986,198289.71
987,red,low,1987,67232.74
988,black,medium,1988,171774.63
989,green,medium,1989,29756.73
990,green,low,1990,48813.42
991,red,high,1991,11380.14
992,green,high,1992,46284.91
993,red,medium,1993,135465.33
994,green,high,1994,65413.07
995,black,low,1995,17885.5
996,yellow,high,1996,12373.53
997,blue,low,1997,67784.25
998,blue,medium,1998,55665.14
999,yellow,low,1999,83757.31
